,language,entropy_1000,entropy_all
6,Japanese,0.028505639050830242,0.02802038278513289
2,Hindi,0.06634144947190536,0.06643912386577006
0,Telugu,0.06960498535482607,0.07055660869843525
4,Turkish,0.07643647133036267,0.09663513189741389
5,Arabic,0.12915731390398985,0.14505108779700973
3,English,0.1413082260861793,0.15400849820352455
7,French,0.15358427843254216,0.1554116600127713
20,Persian,0.17059469350896658,0.13315074194959525
32,Bambara,0.1740929730351694,0.1737486241791903
1,Irish,0.17835061879479308,0.15572813102680746
13,Catalan,0.1797062443883518,0.21548468512060376
18,Hebrew,0.18820272025988774,0.19408896039570797
9,Portuguese,0.21853786637748887,0.21754406337390328
14,Modern Greek,0.22096848944356748,0.2278566597519728
15,Spanish,0.22625411501556353,0.23080181205921968
27,Croatian,0.262211053697024,0.299788566908998
8,Italian,0.2622265742642314,0.2510446198547153
23,Russian,0.26930160213800586,0.2745399990308608
10,Swedish,0.28542241676836955,0.2877008294051146
19,Czech,0.3061180576378061,0.3510601862671521
11,Romanian,0.32096743294006247,0.2885121676577395
16,Dutch,0.32332938991034105,0.3505833932839836
21,Danish,0.3259978407153384,0.3369280239417465
22,Slovenian,0.32750694781630907,0.33438448263650195
31,Wolof,0.3583776633353229,0.34856668192577195
25,German,0.36427232066330817,0.33231360164908846
12,Bulgarian,0.3745240754572212,0.2735910759347797
26,Slovak,0.414015600412416,0.45657959155066363
17,Finnish,0.4157365242288499,0.4087422911123454
28,Basque,0.48887714592052384,0.4929563546131267
24,Estonian,0.5182651454029099,0.5173265228687038
29,Latin,0.5374338655611437,0.652237310894963
30,Ancient Greek,0.6291235519021374,0.5822889561467941
